onboarding_id,employee_id,program_name,scheduled_date,completion_status,satisfaction_score
ONB0001,EMP001,회사 소개 및 비전 공유,2023-10-01,완료,4.5
ONB0002,EMP001,조직문화 및 핵심가치 교육,2023-10-05,완료,3.9
ONB0003,EMP001,업무 시스템 사용법 교육,2023-10-06,완료,4.0
ONB0004,EMP001,부서별 업무 소개,2023-10-07,완료,3.6
ONB0005,EMP001,멘토 배정 및 OJT,2023-10-12,완료,5.0
ONB0006,EMP001,컴플라이언스 교육,2023-10-14,완료,4.1
ONB0007,EMP001,정보보안 교육,2023-10-16,완료,4.2
ONB0008,EMP002,회사 소개 및 비전 공유,2024-05-27,완료,3.6
ONB0009,EMP002,조직문화 및 핵심가치 교육,2024-05-28,완료,4.0
ONB0010,EMP002,업무 시스템 사용법 교육,2024-05-30,완료,3.8
ONB0011,EMP002,부서별 업무 소개,2024-06-04,완료,3.6
ONB0012,EMP002,멘토 배정 및 OJT,2024-06-03,완료,5.0
ONB0013,EMP002,컴플라이언스 교육,2024-06-08,완료,4.1
ONB0014,EMP002,정보보안 교육,2024-06-08,완료,4.2
ONB0015,EMP005,회사 소개 및 비전 공유,2023-02-13,완료,3.8
ONB0016,EMP005,조직문화 및 핵심가치 교육,2023-02-16,완료,4.3
ONB0017,EMP005,업무 시스템 사용법 교육,2023-02-19,완료,3.9
ONB0018,EMP005,부서별 업무 소개,2023-02-19,완료,4.4
ONB0019,EMP005,멘토 배정 및 OJT,2023-02-24,완료,4.0
ONB0020,EMP005,컴플라이언스 교육,2023-02-26,완료,4.7
ONB0021,EMP005,정보보안 교육,2023-02-28,완료,3.5
ONB0022,EMP006,회사 소개 및 비전 공유,2024-06-20,완료,5.0
ONB0023,EMP006,조직문화 및 핵심가치 교육,2024-06-24,완료,4.0
ONB0024,EMP006,업무 시스템 사용법 교육,2024-06-26,완료,4.8
ONB0025,EMP006,부서별 업무 소개,2024-06-27,완료,4.3
ONB0026,EMP006,멘토 배정 및 OJT,2024-06-28,완료,4.1
ONB0027,EMP006,컴플라이언스 교육,2024-06-30,완료,3.9
ONB0028,EMP006,정보보안 교육,2024-07-04,완료,4.8
ONB0029,EMP013,회사 소개 및 비전 공유,2022-03-09,완료,4.5
ONB0030,EMP013,조직문화 및 핵심가치 교육,2022-03-11,완료,4.0
