recruitment_id,employee_id,position_title,apply_date,interview_date,offer_date,hire_date,recruitment_channel,interviewer_comment
REC0001,EMP000,대표이사,2009-08-31,2009-09-14,2009-09-26,2010-01-01,추천,팀워크와 커뮤니케이션 능력이 우수함
REC0002,DIV001,본부장,2012-04-20,2012-05-18,2012-06-06,2012-08-05,대학 채용,우수한 역량과 성장 가능성을 보임
REC0003,DIV002,본부장,2015-10-11,2015-10-27,2015-11-04,2016-02-26,추천,기대 이상의 실력과 태도를 보임
REC0004,DIV003,본부장,2015-02-03,2015-03-05,2015-03-18,2015-06-04,경력 스카우트,기대 이상의 실력과 태도를 보임
REC0005,TL001,팀장,2019-12-12,2019-12-28,2020-01-06,2020-04-23,경력 스카우트,빠른 학습 능력과 적응력을 갖춤
REC0006,TL002,팀장,2015-07-01,2015-07-29,2015-08-12,2015-09-08,추천,팀워크와 커뮤니케이션 능력이 우수함
REC0007,TL003,팀장,2016-08-16,2016-09-03,2016-09-24,2016-11-28,추천,빠른 학습 능력과 적응력을 갖춤
REC0008,TL004,팀장,2017-05-24,2017-06-12,2017-07-01,2017-10-06,헤드헌팅,기대 이상의 실력과 태도를 보임
REC0009,TL005,팀장,2016-01-04,2016-01-19,2016-02-08,2016-05-07,헤드헌팅,팀워크와 커뮤니케이션 능력이 우수함
REC0010,TL006,팀장,2015-04-11,2015-05-04,2015-05-13,2015-06-29,헤드헌팅,경험과 역량이 요구사항에 부합함
REC0011,TL007,팀장,2014-02-14,2014-03-07,2014-03-19,2014-07-14,추천,경험과 역량이 요구사항에 부합함
REC0012,TL008,팀장,2019-01-27,2019-02-18,2019-02-28,2019-04-07,추천,팀워크와 커뮤니케이션 능력이 우수함
REC0013,TL009,팀장,2015-11-13,2015-12-01,2015-12-18,2016-02-16,경력 스카우트,팀워크와 커뮤니케이션 능력이 우수함
REC0014,TL010,팀장,2014-12-17,2015-01-02,2015-01-17,2015-04-24,추천,우수한 역량과 성장 가능성을 보임
REC0015,EMP001,사원,2023-05-19,2023-06-20,2023-06-29,2023-10-01,헤드헌팅,빠른 학습 능력과 적응력을 갖춤
REC0016,EMP002,사원,2024-01-08,2024-02-10,2024-02-22,2024-05-26,경력 스카우트,팀워크와 커뮤니케이션 능력이 우수함
