project_member_id,employee_id,project_id,project_name,role,pm_qualitative_feedback,peer_qualitative_feedback,start_date,end_date
PM0001,EMP164,PRJ_2020_01,보안 강화 프로젝트,PL,"프로젝트 목표 126% 달성. 품질 기준을 초과하여 완수했으며, 기술적 완성도가 매우 높음.",항상 동료를 먼저 생각하고 배울 점이 많은 동료. 전문성도 뛰어남.,2020-03-01,2020-12-26
PM0002,EMP007,PRJ_2020_01,보안 강화 프로젝트,개발자,맡은 역할을 성실히 수행. 주어진 작업 완수. 도전적 목표 설정 권장.,프로젝트에 성실히 기여. 원활한 협업.,2020-03-01,2020-12-26
PM0003,EMP135,PRJ_2020_01,보안 강화 프로젝트,개발자,"프로젝트 목표 130% 달성. 품질 기준을 초과하여 완수했으며, 팀원들의 신뢰가 매우 높음.",성실하며 업무를 수행. 맡은 일 잘 처리함.,2020-03-01,2020-12-26
PM0004,TL004,PRJ_2020_01,보안 강화 프로젝트,QA,요구사항에 맞춰 업무 완수. 기술적 역량 발휘. 다음 프로젝트에서 더 큰 역할 기대.,업무는 처리하지만 커뮤니케이션이 부족. 더 적극적인 참여 기대.,2020-03-01,2020-12-26
PM0005,EMP075,PRJ_2020_02,클라우드 마이그레이션,PL,"프로젝트 목표 107% 달성. 예산 대비 효율적으로 완수했으며, 기술적 완성도가 매우 높음.",업무는 처리하지만 커뮤니케이션이 부족. 소통 개선 필요.,2020-09-03,2021-05-01
PM0006,EMP130,PRJ_2020_02,클라우드 마이그레이션,개발자,타 팀과의 협업에서 어려움 노출. 개선 방안 논의 필요.,프로젝트 진행 중 적극적인 소통로 팀워크 향상에 기여. 팀 성과에 큰 기여.,2020-09-03,2021-05-01
PM0007,EMP049,PRJ_2020_02,클라우드 마이그레이션,개발자,일정대로 업무 완수. 기술적 역량 발휘. 다음 프로젝트에서 전문성 심화 요구.,협업에 긍정적. 믿고 맡길 수 있음.,2020-09-03,2021-05-01
PM0008,EMP103,PRJ_2020_03,HR 챗봇 개발,PL,큰 이슈 없이 업무 완수. 책임감 있는 태도. 다음 프로젝트에서 전문성 심화 요구.,협력적이고 업무를 수행. 맡은 일 잘 처리함.,2020-07-19,2021-05-15
PM0009,EMP078,PRJ_2020_03,HR 챗봇 개발,개발자,요구사항 이해에서 어려움 노출. 개선 방안 논의 필요.,책임감이 강하고 팀원들에게 지식을 공유해줌. 팀의 기둥.,2020-07-19,2021-05-15
PM0010,EMP038,PRJ_2020_03,HR 챗봇 개발,개발자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,적극적으로 참여. 함께 일하기 좋음.,2020-07-19,2021-05-15
PM0011,EMP160,PRJ_2020_04,데이터 웨어하우스 구축,PL,"기본 작업은 완수했으나, 커뮤니케이션 개선 필요. 추가 교육 권장.",협업에 긍정적. 믿고 맡길 수 있음.,2020-10-11,2021-08-07
PM0012,EMP051,PRJ_2020_04,데이터 웨어하우스 구축,개발자,전반적으로 만족스러운 기여. 일정 관리 능력 향상 시 더 큰 성과 기대.,성실하며 업무를 수행. 커뮤니케이션 원활함.,2020-10-11,2021-08-07
PM0013,TL008,PRJ_2020_04,데이터 웨어하우스 구축,개발자,큰 이슈 없이 업무 완수. 팀과의 협업 양호. 다음 프로젝트에서 리더십 발휘 필요.,프로젝트 진행 중 빠른 피드백로 팀워크 향상에 기여. 함께 일하고 싶은 동료.,2020-10-11,2021-08-07
PM0014,EMP155,PRJ_2020_04,데이터 웨어하우스 구축,QA,"기본 작업은 완수했으나, 품질 기준 미달 부분 존재. 멘토링 지원 필요.",기본적인 협업은 수행하나 적극성 필요. 소통 개선 필요.,2020-10-11,2021-08-07
PM0015,EMP148,PRJ_2020_04,데이터 웨어하우스 구축,기획자,뛰어난 커뮤니케이션으로 프로젝트에 기여. 향후 리더 역할 기대됨.,필요한 지원 제공. 믿고 맡길 수 있음.,2020-10-11,2021-08-07
