training_id,employee_id,training_name,category,training_hours,start_date,completion_date,completion_status,assessment_score
TRN0001,EMP000,정보보안,Compliance,8,2017-11-15,2017-11-19,수료,94.1
TRN0002,EMP000,SQL 데이터베이스,Technical,16,2016-01-11,2016-01-19,수료,94.4
TRN0003,EMP000,데이터 분석 실무,Technical,24,2023-02-21,2023-03-05,수료,83.3
TRN0004,EMP000,프로젝트 관리 실무,Management,20,2018-09-15,2018-09-25,수료,93.1
TRN0005,EMP000,효과적인 커뮤니케이션,Soft Skill,8,2017-11-12,2017-11-16,미수료,83.8
TRN0006,DIV001,Python 기초,Technical,16,2021-06-03,2021-06-11,수료,99.8
TRN0007,DIV001,클라우드 컴퓨팅,Technical,24,2017-12-30,2018-01-11,수료,82.4
TRN0008,DIV001,SQL 데이터베이스,Technical,16,2020-10-04,2020-10-12,수료,70.3
TRN0009,DIV001,효과적인 커뮤니케이션,Soft Skill,8,2018-09-30,2018-10-04,수료,72.8
TRN0010,DIV001,Python 심화,Technical,24,2020-07-05,2020-07-17,수료,97.9
TRN0011,DIV002,협업 스킬 향상,Soft Skill,8,2019-06-02,2019-06-06,수료,92.4
TRN0012,DIV002,AI/ML 기초,Technical,32,2018-07-13,2018-07-29,수료,76.0
TRN0013,DIV002,리더십 기본,Leadership,16,2019-02-11,2019-02-19,수료,76.2
TRN0014,DIV002,디자인 씽킹,Soft Skill,16,2018-09-03,2018-09-11,수료,95.1
TRN0015,DIV002,애자일 방법론,Management,16,2020-05-23,2020-05-31,수료,73.2
TRN0016,DIV003,클라우드 컴퓨팅,Technical,24,2024-03-28,2024-04-09,수료,98.7
TRN0017,DIV003,Python 기초,Technical,16,2021-01-28,2021-02-05,수료,79.5
TRN0018,TL001,프로젝트 관리 실무,Management,20,2022-10-14,2022-10-24,수료,87.3
TRN0019,TL001,클라우드 컴퓨팅,Technical,24,2020-11-09,2020-11-21,수료,82.7
TRN0020,TL001,프레젠테이션 스킬,Soft Skill,8,2023-08-03,2023-08-07,수료,80.4
TRN0021,TL001,AI/ML 실무,Technical,40,2021-07-14,2021-08-03,수료,73.6
TRN0022,TL001,개인정보보호,Compliance,4,2023-06-18,2023-06-20,수료,90.7
TRN0023,TL001,효과적인 커뮤니케이션,Soft Skill,8,2020-08-15,2020-08-19,수료,81.4
TRN0024,TL002,협업 스킬 향상,Soft Skill,8,2022-10-20,2022-10-24,수료,75.6
TRN0025,TL002,AI/ML 기초,Technical,32,2018-11-17,2018-12-03,수료,84.1
TRN0026,TL003,협업 스킬 향상,Soft Skill,8,2021-11-08,2021-11-12,수료,81.2
TRN0027,TL003,AI/ML 기초,Technical,32,2021-08-24,2021-09-09,수료,75.4
TRN0028,TL003,프레젠테이션 스킬,Soft Skill,8,2018-08-17,2018-08-21,미수료,90.6
TRN0029,TL003,리더십 심화,Leadership,20,2018-04-11,2018-04-21,수료,94.1
TRN0030,TL003,리더십 기본,Leadership,16,2023-05-20,2023-05-28,수료,81.4
TRN0031,TL003,SQL 데이터베이스,Technical,16,2018-10-16,2018-10-24,수료,92.2
TRN0032,TL004,Python 기초,Technical,16,2023-10-22,2023-10-30,수료,79.5
TRN0033,TL004,프레젠테이션 스킬,Soft Skill,8,2023-06-20,2023-06-24,수료,86.9
TRN0034,TL004,문제해결 기법,Soft Skill,12,2024-05-17,2024-05-23,수료,73.0
TRN0035,TL004,리더십 심화,Leadership,20,2019-11-04,2019-11-14,수료,94.4
TRN0036,TL004,데이터 분석 실무,Technical,24,2023-05-09,2023-05-21,수료,72.9
TRN0037,TL005,협업 스킬 향상,Soft Skill,8,2020-06-14,2020-06-18,수료,73.6
TRN0038,TL005,프로젝트 관리 실무,Management,20,2024-03-19,2024-03-29,미수료,76.0
TRN0039,TL005,AI/ML 기초,Technical,32,2023-01-19,2023-02-04,수료,86.2
TRN0040,TL005,프레젠테이션 스킬,Soft Skill,8,2019-10-14,2019-10-18,수료,90.2
TRN0041,TL005,정보보안,Compliance,8,2022-01-22,2022-01-26,수료,83.4
TRN0042,TL005,문제해결 기법,Soft Skill,12,2017-06-22,2017-06-28,수료,78.6
TRN0043,TL005,효과적인 커뮤니케이션,Soft Skill,8,2023-09-05,2023-09-09,미수료,96.0
TRN0044,TL006,협업 스킬 향상,Soft Skill,8,2019-08-04,2019-08-08,수료,79.5
TRN0045,TL006,문제해결 기법,Soft Skill,12,2019-01-02,2019-01-08,수료,88.2
TRN0046,TL006,AI/ML 실무,Technical,40,2020-03-03,2020-03-23,수료,83.3
TRN0047,TL006,정보보안,Compliance,8,2019-10-23,2019-10-27,수료,85.6
TRN0048,TL006,Python 심화,Technical,24,2020-10-14,2020-10-26,수료,75.5
TRN0049,TL006,디자인 씽킹,Soft Skill,16,2015-12-30,2016-01-07,수료,77.0
TRN0050,TL006,데이터 분석 실무,Technical,24,2018-07-23,2018-08-04,수료,91.0
TRN0051,TL007,리더십 기본,Leadership,16,2019-03-26,2019-04-03,수료,71.9
TRN0052,TL007,프레젠테이션 스킬,Soft Skill,8,2020-02-01,2020-02-05,수료,70.8
TRN0053,TL008,정보보안,Compliance,8,2020-05-19,2020-05-23,수료,97.9
TRN0054,TL008,데이터 분석 실무,Technical,24,2021-09-11,2021-09-23,수료,77.4
TRN0055,TL008,SQL 데이터베이스,Technical,16,2021-02-06,2021-02-14,수료,73.8
TRN0056,TL008,효과적인 커뮤니케이션,Soft Skill,8,2022-06-18,2022-06-22,수료,70.9
TRN0057,TL008,애자일 방법론,Management,16,2023-03-25,2023-04-02,수료,97.5
TRN0058,TL009,클라우드 컴퓨팅,Technical,24,2018-05-11,2018-05-23,수료,83.7
TRN0059,TL009,디자인 씽킹,Soft Skill,16,2023-07-03,2023-07-11,수료,83.0
TRN0060,TL009,프로젝트 관리 실무,Management,20,2023-07-19,2023-07-29,수료,79.3
TRN0061,TL009,개인정보보호,Compliance,4,2020-04-07,2020-04-09,수료,76.8
TRN0062,TL009,리더십 심화,Leadership,20,2017-05-17,2017-05-27,수료,81.0
TRN0063,TL009,데이터 분석 실무,Technical,24,2019-04-15,2019-04-27,수료,70.3
TRN0064,TL009,AI/ML 기초,Technical,32,2022-03-29,2022-04-14,수료,95.4
TRN0065,TL009,정보보안,Compliance,8,2020-03-24,2020-03-28,수료,86.1
TRN0066,TL010,클라우드 컴퓨팅,Technical,24,2022-04-02,2022-04-14,수료,70.2
TRN0067,TL010,개인정보보호,Compliance,4,2019-09-30,2019-10-02,수료,96.5
TRN0068,TL010,애자일 방법론,Management,16,2020-06-16,2020-06-24,수료,74.9
TRN0069,TL010,Python 기초,Technical,16,2023-10-28,2023-11-05,수료,94.9
TRN0070,TL010,AI/ML 실무,Technical,40,2018-01-11,2018-01-31,수료,82.7
TRN0071,TL010,리더십 기본,Leadership,16,2018-03-30,2018-04-07,수료,94.0
TRN0072,TL010,효과적인 커뮤니케이션,Soft Skill,8,2022-06-07,2022-06-11,수료,90.5
TRN0073,EMP001,개인정보보호,Compliance,4,2024-07-28,2024-07-30,수료,72.1
TRN0074,EMP001,프로젝트 관리 실무,Management,20,2024-03-08,2024-03-18,수료,89.1
TRN0075,EMP004,프로젝트 관리 실무,Management,20,2021-10-15,2021-10-25,수료,86.0
TRN0076,EMP004,클라우드 컴퓨팅,Technical,24,2021-11-19,2021-12-01,미수료,78.5
TRN0077,EMP004,리더십 기본,Leadership,16,2021-09-18,2021-09-26,수료,91.8
TRN0078,EMP004,프레젠테이션 스킬,Soft Skill,8,2022-01-06,2022-01-10,수료,70.4
TRN0079,EMP004,Python 기초,Technical,16,2021-12-21,2021-12-29,수료,79.3
TRN0080,EMP005,클라우드 컴퓨팅,Technical,24,2024-01-06,2024-01-18,수료,71.0
TRN0081,EMP005,AI/ML 기초,Technical,32,2023-06-24,2023-07-10,수료,98.5
TRN0082,EMP007,AI/ML 실무,Technical,40,2020-09-26,2020-10-16,수료,77.5
TRN0083,EMP007,데이터 분석 실무,Technical,24,2022-11-10,2022-11-22,수료,73.7
TRN0084,EMP007,클라우드 컴퓨팅,Technical,24,2021-05-16,2021-05-28,수료,99.2
TRN0085,EMP007,정보보안,Compliance,8,2021-05-09,2021-05-13,수료,71.0
TRN0086,EMP008,SQL 데이터베이스,Technical,16,2022-03-11,2022-03-19,수료,74.8
TRN0087,EMP008,정보보안,Compliance,8,2020-09-04,2020-09-08,수료,86.5
TRN0088,EMP008,리더십 기본,Leadership,16,2021-02-15,2021-02-23,수료,89.2
TRN0089,EMP008,리더십 심화,Leadership,20,2021-07-21,2021-07-31,수료,71.6
TRN0090,EMP008,클라우드 컴퓨팅,Technical,24,2024-03-06,2024-03-18,수료,73.4
TRN0091,EMP009,문제해결 기법,Soft Skill,12,2018-05-24,2018-05-30,수료,77.3
TRN0092,EMP009,협업 스킬 향상,Soft Skill,8,2017-07-10,2017-07-14,수료,90.7
TRN0093,EMP009,Python 기초,Technical,16,2024-10-08,2024-10-16,수료,81.1
TRN0094,EMP009,데이터 분석 실무,Technical,24,2018-01-20,2018-02-01,수료,85.0
TRN0095,EMP009,AI/ML 실무,Technical,40,2024-09-28,2024-10-18,수료,97.9
